,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
0,1,13.84791310220329,-7.80267885076522,13.17328099626591,3,-3,(3;-3),Nuclear,-1635091.481,-1635087.832,-1635066.589,-4905245.902
1,2,14.30029851414375,-6.24556328358953,13.00946228490155,3,-1,(3;-1),Ligação,-0.5448296741,-0.5057320311,0.3852642388,-0.6652974663
2,3,13.91460909475754,-2.72403703691876,10.08065208295157,3,-1,(3;-1),Ligação,-0.4821919867,-0.4800254244,0.3476104854,-0.6146069257
3,4,9.63273524240734,-2.74920276638647,9.38838583600636,3,1,(3;+1),Anel,-0.0003861879345,0.0001733201969,0.002737158643,0.002524290905
4,5,15.90429192220697,-5.0728637189107,13.03332920847058,3,-1,(3;-1),Ligação,-0.8507458417,-0.8325192835,0.4819994815,-1.201265644
5,6,9.56576698603595,-0.86529592659687,9.66947370074675,3,-1,(3;-1),Ligação,-0.0005923656841,-0.0003371964964,0.004350018787,0.003420456606
6,7,15.89085743935346,2.18176376632274,14.14504419711164,3,1,(3;+1),Anel,-3.201323877e-05,2.049456744e-05,0.000306127211,0.0002946085397
7,8,12.77225538521416,-4.59865615405089,9.89309200769791,3,-1,(3;-1),Ligação,-0.8216564562,-0.8182924677,0.4679442274,-1.172004696
8,9,14.26582337685112,-4.63296327292781,11.50457293744749,3,-1,(3;-1),Ligação,-0.4538696239,-0.4371304104,0.3505472695,-0.5404527648
9,10,14.87107311077718,-4.72311206581994,9.18923456617585,3,-1,(3;-1),Ligação,-0.4801417327,-0.477748812,0.3471425402,-0.6107480045
10,11,9.48950259155072,-3.09377258562442,9.27525874730515,3,-1,(3;-1),Ligação,-0.000389534965,-0.0001437679289,0.002897698517,0.002364395623
11,12,11.30357734180842,0.61030309452767,7.77285571291548,3,-1,(3;-1),Ligação,-0.001860638149,-0.00107434529,0.011229769,0.008294785558
12,13,9.67928513615686,-0.472885149696,9.28235118409219,3,1,(3;+1),Anel,-0.0005755320747,0.0004549243965,0.003770200357,0.003649592679
13,14,14.9273001682854,-0.80736860678192,10.47802551251383,3,-1,(3;-1),Ligação,-0.7908777284,-0.7876003321,0.4471338977,-1.131344163
14,15,13.87202160384155,5.90832922429211,9.02603974934732,3,1,(3;+1),Anel,-8.972095744e-07,2.413918527e-06,1.026175216e-05,1.177846111e-05
15,16,14.29027156733695,-3.66515554319863,2.80144402176046,3,-1,(3;-1),Ligação,-6.831714805e-05,-5.223250083e-05,0.0005926007053,0.0004720510565
16,17,15.06634207618444,0.037745912646,17.7793756037202,3,-1,(3;-1),Ligação,-0.0008264237237,-0.0007230294595,0.005002040504,0.00345258732
17,18,11.88979923047914,-4.09838930451415,5.18252480680363,3,-1,(3;-1),Ligação,-0.0001903254146,-0.0001311771803,0.001739796427,0.001418293832
18,19,11.51190666919636,-4.00628149214083,5.95313334926879,3,1,(3;+1),Anel,-0.0001150747485,0.0001624388519,0.001470306579,0.001517670682
