,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
0,1,13.8479131022033,-7.80267885076522,13.17328099626591,3,-3,(3;-3),Nuclear,-1635091.481,-1635087.832,-1635066.589,-4905245.902
1,2,9.48950259910433,-3.09377259843895,9.27525869079912,3,-1,(3;-1),Ligação,-0.0003895349597,-0.000143767945,0.002897698538,0.002364395634
2,3,14.30029851415067,-6.24556328351614,13.00946228484066,3,-1,(3;-1),Ligação,-0.5448296742,-0.5057320311,0.385264239,-0.6652974662
3,4,13.91460909487727,-2.72403703692313,10.0806520832102,3,-1,(3;-1),Ligação,-0.4821919866,-0.4800254246,0.3476104855,-0.6146069257
4,5,9.63273526695271,-2.74920273771595,9.38838578906856,3,1,(3;+1),Anel,-0.0003861879257,0.0001733202194,0.002737158648,0.002524290942
5,6,15.90429192266679,-5.07286371881991,13.03332920839936,3,-1,(3;-1),Ligação,-0.8507458422,-0.8325192842,0.481999482,-1.201265644
6,7,9.56576699670948,-0.86529591324283,9.66947365000392,3,-1,(3;-1),Ligação,-0.0005923656609,-0.0003371964576,0.004350018726,0.003420456607
7,8,15.89085744951941,2.18176377849072,14.14504417990432,3,1,(3;+1),Anel,-3.201323877e-05,2.049456563e-05,0.0003061272137,0.0002946085406
8,9,12.77225538517471,-4.59865615401473,9.89309200777888,3,-1,(3;-1),Ligação,-0.8216564557,-0.8182924678,0.4679442277,-1.172004696
9,10,14.26582337667348,-4.6329632728351,11.50457293746567,3,-1,(3;-1),Ligação,-0.4538696237,-0.4371304102,0.3505472696,-0.5404527644
10,11,14.87107311063706,-4.72311206592395,9.18923456598437,3,-1,(3;-1),Ligação,-0.4801417325,-0.4777488121,0.3471425402,-0.6107480045
11,12,11.30357734086943,0.61030309317863,7.77285571351912,3,-1,(3;-1),Ligação,-0.001860638151,-0.001074345295,0.01122976899,0.008294785539
12,13,9.67928513385348,-0.47288518382271,9.28235118185453,3,1,(3;+1),Anel,-0.0005755320503,0.0004549243303,0.003770200349,0.003649592629
13,14,14.92730016838139,-0.80736860675252,10.47802551262854,3,-1,(3;-1),Ligação,-0.7908777282,-0.787600332,0.4471338977,-1.131344163
14,15,13.87202161279724,5.90832921030714,9.02603970583476,3,1,(3;+1),Anel,-8.972096679e-07,2.413918457e-06,1.026175236e-05,1.177846115e-05
15,16,14.29027156916469,-3.66515554716456,2.80144402043115,3,-1,(3;-1),Ligação,-6.831714786e-05,-5.223250088e-05,0.000592600706,0.0004720510573
16,17,15.06634207803462,0.0377459116134,17.77937560477964,3,-1,(3;-1),Ligação,-0.0008264237248,-0.0007230294614,0.005002040501,0.003452587315
17,18,13.40077306645718,-3.62306974382936,2.97856465563913,3,1,(3;+1),Anel,-5.934069411e-05,8.665418372e-05,0.0004141868546,0.0004415003442
18,19,11.5119066578756,-4.00628149587903,5.95313336270706,3,1,(3;+1),Anel,-0.0001150747478,0.0001624388572,0.001470306574,0.001517670684
19,20,11.88979923078155,-4.09838930932163,5.18252480142819,3,-1,(3;-1),Ligação,-0.0001903254154,-0.0001311771844,0.001739796426,0.001418293827
20,21,14.02905675124748,-4.35464856948663,13.88596273252973,3,-1,(3;-1),Ligação,-0.5199364439,-0.4996386717,0.3784288701,-0.6411462455
