,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
0,1,13.84791229031945,-7.80267916465089,13.1732817788346,3,-3,(3;-3),Nuclear,-192148.4778,-192146.858,-192134.1297,-576429.4655
1,2,16.60667384868483,2.27623078816072,14.35239628215183,3,1,(3;+1),Anel,-1.110164117e-05,1.363927246e-05,0.0001718308356,0.0001743684669
2,3,14.30946686410127,-6.20804679421199,13.00642615754641,3,-1,(3;-1),Ligação,-0.5108060539,-0.4716551114,0.3270288251,-0.6554323401
3,4,14.26658465491853,-4.62942725998005,11.50746396228341,3,-1,(3;-1),Ligação,-0.4126763817,-0.398821901,0.3110247133,-0.5004735694
4,5,14.86923421030775,-4.72121139338093,9.19211935294712,3,-1,(3;-1),Ligação,-0.4339621558,-0.4326226651,0.3170150759,-0.549569745
5,6,13.91559842271251,-2.72909282552034,10.08142893236782,3,-1,(3;-1),Ligação,-0.435915118,-0.4346420488,0.3186314426,-0.5519257242
6,7,15.16535941510941,-0.00648497433173,17.87620433201417,3,-1,(3;-1),Ligação,-0.0008050219856,-0.0007728026993,0.005640096924,0.004062272239
7,8,15.90747873226431,-5.0709814106116,13.03409732208845,3,-1,(3;-1),Ligação,-0.7395966556,-0.7220652949,0.3596079936,-1.102053957
8,9,7.28943882495668,-3.48147262336235,4.32880879070322,3,-1,(3;-1),Ligação,-1.012186086,-0.9943560131,2.192215631,0.1856735315
9,10,9.51611302664634,-3.01241296851185,9.24337282284991,3,-1,(3;-1),Ligação,-0.0003609143432,-7.840274441e-05,0.002967785445,0.002528468357
10,11,9.61013694300025,-2.78696288702079,9.32097759629485,3,1,(3;+1),Anel,-0.0003580762258,8.836426891e-05,0.002810812138,0.002541100181
11,12,14.03319254621539,-4.35028843262145,13.88516233682918,3,-1,(3;-1),Ligação,-0.4734086168,-0.4567692608,0.3432860733,-0.5868918043
12,13,7.53355448222587,0.14286664398863,4.37706222449271,3,-1,(3;-1),Ligação,-0.002214450855,-0.00182535333,0.02113240578,0.0170926016
13,14,11.39196019645255,0.58933380705942,7.66177056309535,3,-1,(3;-1),Ligação,-0.001875447432,-0.001279046398,0.01194037192,0.00878587809
14,15,12.6158764810759,-3.50943274785026,15.0625986767293,3,-1,(3;-1),Ligação,-1.001556493,-0.9671606717,2.145347015,0.1766298503
15,16,12.76908573671516,-4.60039069279402,9.89289949860056,3,-1,(3;-1),Ligação,-0.7131364251,-0.7097882649,0.3544442996,-1.06848039
16,17,16.01213985360917,-6.5014451640612,8.4830710655865,3,-1,(3;-1),Ligação,-0.7056547975,-0.7045459699,0.3377956625,-1.072405105
17,18,14.37320016752409,-3.68812855399509,2.79257203038048,3,-1,(3;-1),Ligação,-6.681394328e-05,-6.376091572e-05,0.0005339192835,0.0004033444245
18,19,9.57660390533414,-0.7445394890768,9.67079584337757,3,-1,(3;-1),Ligação,-0.0005550254863,-0.0002661261712,0.004462232822,0.003641081164
19,20,12.46187821191787,-8.0573923808783,12.86567878601108,3,-1,(3;-1),Ligação,-1.320606207,-1.238083404,0.9588022556,-1.599887356
20,21,12.82714349384223,-3.54508716276545,3.13345409038148,3,1,(3;+1),Anel,-4.065640844e-05,0.0001591635359,0.0002490223434,0.0003675294708
21,22,16.73976722077404,2.66922273199743,13.79844998770135,3,-1,(3;-1),Ligação,-1.250116513e-05,-9.709249305e-06,0.000212650511,0.0001904400965
22,23,14.74481219087851,-8.84992995216906,13.5923057171542,3,-1,(3;-1),Ligação,-1.344374427,-1.260356834,0.9795137632,-1.625217498
23,24,9.67404534898783,-0.43300069706885,9.37282618184005,3,1,(3;+1),Anel,-0.0005311325186,0.000341486204,0.003869441553,0.003679795239
24,25,18.90221144009995,9.17222593770219,15.21507124193913,3,1,(3;+1),Anel,-0.003929402861,0.008440045311,0.01734962612,0.02186026857
25,26,13.88675649393234,6.12170139880833,9.70225668593138,3,1,(3;+1),Anel,-5.705879279e-08,3.94875082e-07,1.524879744e-06,1.862696033e-06
26,27,3.6397020596035,0.83402600174996,5.91450116429929,3,1,(3;+1),Anel,-0.007199621532,0.00421247638,0.04657564738,0.04358850222
27,28,6.86395318093291,-5.12528087417087,5.16408880218185,3,-1,(3;-1),Ligação,-0.7403274491,-0.735942941,0.3429772237,-1.133293166
28,29,12.11955509784158,-8.11758701700441,12.78909383782913,3,-3,(3;-3),Nuclear,-4.176862321,-4.140902705,-3.041254695,-11.35901972
29,30,12.02075597434506,-2.36007623259912,-2.58797757238711,3,-1,(3;-1),Ligação,-0.5164013274,-0.485805213,0.3250454871,-0.6771610533
30,31,11.30766227085652,8.76338246680527,8.23140561694952,3,-1,(3;-1),Ligação,-1.603365043e-06,-1.394563347e-06,2.887415459e-05,2.58762262e-05
31,32,14.96431260398116,-9.09740984770487,13.69182067580966,3,-3,(3;-3),Nuclear,-4.119575879,-4.082524752,-2.955970124,-11.15807076
32,33,14.62458907405371,-5.14195057937147,12.89171396053586,3,-3,(3;-3),Nuclear,-86136.69488,-86135.62324,-86135.14273,-258407.4608
33,34,15.24638448844524,-5.17912182389166,7.05094993865304,3,-1,(3;-1),Ligação,-0.6937987831,-0.6904207308,0.3370295651,-1.047189949
34,35,15.64149231914238,18.2672479349141,9.50156618866405,3,-1,(3;-1),Ligação,-0.005511992425,-0.00274774348,0.03327590909,0.02501617319
35,36,13.80166985466899,-0.93805294920665,8.74854775867844,3,-1,(3;-1),Ligação,-0.6903626416,-0.6881278519,0.339575805,-1.038914689
36,37,26.68662937218322,8.86289540864787,-12.27079871592534,3,-1,(3;-1),Ligação,-0.00912744509,-0.006729272308,0.05866722003,0.04281050263
37,38,14.18430460524707,-2.80613739772276,15.73081044660674,3,-1,(3;-1),Ligação,-0.7156647602,-0.7134380027,0.3633841541,-1.065718609
38,39,16.85692951554764,-4.60944854513499,8.23473268347031,3,-1,(3;-1),Ligação,-0.6866835181,-0.6848173903,0.338714592,-1.032786316
39,40,16.60128213403728,-5.0398407078409,13.10552606659127,3,-3,(3;-3),Nuclear,-4.511342334,-4.506820001,-3.891095352,-12.90925769
40,41,14.93272592018133,-0.80603286527878,10.48135249363071,3,-1,(3;-1),Ligação,-0.6857840126,-0.6844727964,0.3383759018,-1.031880907
41,42,12.86121875106029,-0.82846678463508,10.60890388681619,3,-1,(3;-1),Ligação,-0.7010980416,-0.697756583,0.3403527174,-1.058501907
42,43,13.93673028825132,-4.17062496985492,10.17050671680424,3,-3,(3;-3),Nuclear,-86108.28096,-86107.92713,-86107.6702,-258323.8783
43,44,18.45887241342401,8.58251198178195,14.45712406251363,3,-1,(3;-1),Ligação,-0.005497297216,-0.004430437207,0.03428590613,0.02435817171
44,45,3.45644196455891,0.8993709612137,5.58067657434658,3,-1,(3;-1),Ligação,-0.008550202386,-0.003426323338,0.04957997708,0.03760345136
45,46,9.1943704032152,-3.18293711592867,0.78528940936997,3,-1,(3;-1),Ligação,-0.009328888608,-0.008679916511,0.04666906089,0.02866025577
46,47,6.94834207309482,-0.01773536951528,4.56052817785616,3,1,(3;+1),Anel,-0.001469192027,0.003203424676,0.01512514777,0.01685938042
47,48,8.70517110193066,2.1975114620751,6.70620495327848,3,-1,(3;-1),Ligação,-0.7080318112,-0.7072370221,0.3382849118,-1.076983921
48,49,2.07497239835314,-4.18247830502697,7.71042595496401,3,-1,(3;-1),Ligação,-1.311870827,-1.226449828,0.9517257787,-1.586594876
49,50,12.11722622649931,-4.83648904900067,9.72819425395898,3,-3,(3;-3),Nuclear,-4.498031001,-4.497649134,-3.895594995,-12.89127513
50,51,16.20873561821625,-0.25664653784597,-6.96809744846639,3,-1,(3;-1),Ligação,-0.003501468738,-0.003229941375,0.02166105687,0.01492964676
51,52,13.27323062566493,-0.90279977064027,-2.99952225459693,3,-1,(3;-1),Ligação,-0.7336838053,-0.7125049234,0.3542535775,-1.091935151
52,53,14.61862684620705,0.76054735410263,-5.75109757282321,3,1,(3;+1),Anel,-0.0007743659223,0.001001677234,0.004775499243,0.005002810555
