,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
0,1,13.84791317137349,-7.8026782012454,13.17328106984264,3,-3,(3;-3),Nuclear,-735753.6717,-735750.92,-735732.664,-2207237.256
1,2,14.30045360927014,-6.2416140676814,13.00878437371492,3,-1,(3;-1),Ligação,-0.5289787275,-0.4936802075,0.4119118391,-0.6107470959
2,3,13.91528326823557,-2.72374668425795,10.08116531364474,3,-1,(3;-1),Ligação,-0.4712514403,-0.4677588016,0.3386662765,-0.6003439654
3,4,15.93294132710579,-5.07084440919941,13.03664434497897,3,-1,(3;-1),Ligação,-0.8094779753,-0.7920549072,0.5506506559,-1.050882227
4,5,9.69119657606239,-2.6880265412356,9.38463375931339,3,1,(3;+1),Anel,-0.0003920317161,0.0002654230337,0.002784964984,0.002658356302
5,6,15.99250383888529,2.18183520593985,14.26029404922316,3,1,(3;+1),Anel,-2.82578464e-05,2.8079561e-05,0.0002996770654,0.00029949878
6,7,14.26585905921392,-4.6325528619426,11.50475956826611,3,-1,(3;-1),Ligação,-0.44698818,-0.4279614002,0.3406251361,-0.534324444
7,8,9.20373649411584,-3.13044962256093,0.74577283042245,3,-1,(3;-1),Ligação,-0.007652585318,-0.006678112898,0.04557922797,0.03124852975
8,9,14.87199196927898,-4.72295449652313,9.18921426006111,3,-1,(3;-1),Ligação,-0.4694765835,-0.4658910017,0.3385961224,-0.5967714629
9,10,19.17095129452426,14.2731144222841,7.5704670739622,3,1,(3;+1),Anel,-0.001025913315,0.0004123347263,0.007018003946,0.006404425358
10,11,9.56434973909963,-0.89852384760116,9.68259959938226,3,-1,(3;-1),Ligação,-0.000596130909,-0.0004154447992,0.004582303068,0.00357072736
11,12,9.48978682316091,-3.14009287402845,9.25279830536089,3,-1,(3;-1),Ligação,-0.0004099035452,-0.0002038297566,0.003068365028,0.002454631726
12,13,12.74424154449597,-4.60898211237746,9.88627855571185,3,-1,(3;-1),Ligação,-0.7821735305,-0.7786829235,0.5342732623,-1.026583192
13,14,11.56795123850005,-3.95665528610936,5.93074894345469,3,1,(3;+1),Anel,-0.0001144611214,0.0001285673786,0.001459189041,0.001473295298
14,15,14.02905010411166,-4.35522386568927,13.88403227757124,3,-1,(3;-1),Ligação,-0.5127618245,-0.4931668218,0.3681483975,-0.6377802488
15,16,12.50922768451151,-8.0477494643879,12.87602942512418,3,-1,(3;-1),Ligação,-1.372456702,-1.291611598,0.8626669351,-1.801401365
16,17,13.84130103083794,6.00337411822367,9.33956411268206,3,1,(3;+1),Anel,-5.35939815e-07,2.134130747e-06,8.622621975e-06,1.022081291e-05
17,18,16.21608136972015,2.60927624217821,13.64647650981522,3,-1,(3;-1),Ligação,-3.235754641e-05,-2.07611456e-05,0.000363792759,0.000310674067
18,19,7.67193226151183,0.10462433105982,4.4243050831974,3,-1,(3;-1),Ligação,-0.002427902869,-0.001571217457,0.02075516624,0.01675604591
19,20,14.71757282252683,-8.81419976937137,13.57855981372177,3,-1,(3;-1),Ligação,-1.401270504,-1.315714953,0.8420744609,-1.874910996
20,21,11.8618260696891,-4.06047799659556,5.30257998067395,3,-1,(3;-1),Ligação,-0.0001865750905,-0.000109087507,0.001767285679,0.001471623081
21,22,14.33951654613455,-3.65120444578144,2.80515972395653,3,-1,(3;-1),Ligação,-6.52001359e-05,-5.822830699e-05,0.0005844161076,0.0004609876648
