,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
0,1,13.84791315241802,-7.80267836306354,13.17328108290822,3,-3,(3;-3),Nuclear,-735871.5363,-735868.5311,-735850.6479,-2207590.715
1,2,14.03031462475215,-4.35451275909512,13.88490675598711,3,-1,(3;-1),Ligação,-0.5127276998,-0.4931770047,0.3675557925,-0.638348912
2,3,14.30201325948626,-6.24057066035973,13.00876568775555,3,-1,(3;-1),Ligação,-0.5308125565,-0.4933883432,0.4074116495,-0.6167892502
3,4,16.02659027884265,2.17362367634045,14.28436599704106,3,1,(3;+1),Anel,-2.805522836e-05,2.940284075e-05,0.0002919647281,0.0002933123405
4,5,13.91434838276374,-2.72427234682711,10.08094263163333,3,-1,(3;-1),Ligação,-0.4724493606,-0.469822088,0.3376866355,-0.6045848132
5,6,15.91429002221573,-5.07219198139027,13.0345992222894,3,-1,(3;-1),Ligação,-0.8237450226,-0.8058201045,0.5135759484,-1.115989179
6,7,14.26577952865584,-4.63280524591784,11.50489220819366,3,-1,(3;-1),Ligação,-0.4469759998,-0.4293129116,0.3397431408,-0.5365457706
7,8,13.86809193298179,5.98094980679639,9.32919838668293,3,1,(3;+1),Anel,-4.994679956e-07,2.085454667e-06,8.292884036e-06,9.878870708e-06
8,9,16.62792910827992,-5.0390663896484,13.10807119662748,3,-3,(3;-3),Nuclear,-9.373920292,-9.369120354,-8.548165547,-27.29120619
9,10,14.87092002445804,-4.72321790137116,9.18910560052861,3,-1,(3;-1),Ligação,-0.4705074692,-0.4678697084,0.3377520082,-0.6006251693
10,11,16.25442120631885,2.62273367926211,13.64503682187327,3,-1,(3;-1),Ligação,-3.232719903e-05,-2.144883128e-05,0.000357432431,0.0003036564007
11,12,9.68472513485329,-2.69288746725201,9.39946552510269,3,1,(3;+1),Anel,-0.0003925419373,0.0002578079653,0.002768867167,0.002634133195
12,13,16.04875524104082,4.98112607724368,20.55028722515992,3,-1,(3;-1),Ligação,-0.5345262818,-0.4879616571,0.4336771511,-0.5888107878
13,14,9.49093917856339,-3.13659745166564,9.26275009069607,3,-1,(3;-1),Ligação,-0.0004078666755,-0.0001979395184,0.003011482781,0.002405676587
14,15,9.56502388512548,-0.9059152346896,9.69917673634013,3,-1,(3;-1),Ligação,-0.0006006351098,-0.0004182418341,0.004553492333,0.003534615389
15,16,9.70637824592045,-0.43566621215709,9.22552813658794,3,1,(3;+1),Anel,-0.0005668379028,0.0006106531783,0.003773675284,0.00381749056
16,17,12.76202465034485,-4.60247506060642,9.89073479392174,3,-1,(3;-1),Ligação,-0.7951965975,-0.792443673,0.4976361454,-1.090004125
17,18,11.55620858900885,-3.96529527919249,5.94330908605832,3,1,(3;+1),Anel,-0.0001130428467,0.0001376476669,0.001443246321,0.001467851141
18,19,12.51220584158274,-8.04763345530911,12.8768659617318,3,-1,(3;-1),Ligação,-1.432118177,-1.346112067,0.7838838783,-1.994346365
19,20,12.59813929597003,-3.50951008175939,15.06509421987637,3,-1,(3;-1),Ligação,-1.040387047,-0.9779950492,1.688347094,-0.3300350024
20,21,11.30937611627568,0.60531745886963,7.75088196029956,3,-1,(3;-1),Ligação,-0.001859461309,-0.001116764632,0.01139316628,0.00841694034
21,22,14.71705460419044,-8.81183963846145,13.57792211215019,3,-1,(3;-1),Ligação,-1.460954214,-1.372678236,0.7609644483,-2.072668001
22,23,19.39587276148893,10.36662513911543,15.20891910968798,3,-1,(3;-1),Ligação,-0.006867507061,-0.006073541538,0.03772449571,0.02478344711
23,24,13.29727295545352,-3.60024929909722,3.00782881069653,3,1,(3;+1),Anel,-5.620991978e-05,0.0001167026964,0.000368319191,0.0004288119676
24,25,11.87218992308952,-4.06533758908512,5.27812431896956,3,-1,(3;-1),Ligação,-0.0001864242867,-0.0001151331662,0.001750095262,0.001448537809
25,26,15.10515013035112,0.03078983838645,17.80184724109271,3,-1,(3;-1),Ligação,-0.0007997848989,-0.0007233913931,0.005104244726,0.003581068434
26,27,16.01216323190489,-6.49921344769648,8.48234336164592,3,-1,(3;-1),Ligação,-0.7889942604,-0.7841082052,0.4970349397,-1.076067526
