,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
0,1,13.84791217343303,-7.80267950714852,13.17328194602336,3,-3,(3;-3),Nuclear,-192127.2064,-192125.6322,-192113.191,-576366.0295
1,2,14.02942701766384,-4.34487219812172,13.8907220378732,3,-1,(3;-1),Ligação,-0.4632922642,-0.446304886,0.3545681815,-0.5550289688
2,3,16.69594133966665,2.31448570266464,14.26317282062958,3,1,(3;+1),Anel,-1.195976352e-05,1.021277673e-05,0.0001837537119,0.0001820067251
3,4,14.30762448552625,-6.21488864010588,13.00550272924557,3,-1,(3;-1),Ligação,-0.5044063204,-0.4638575941,0.3422743169,-0.6259895977
4,5,14.86782412164464,-4.72045177655961,9.19312780132302,3,-1,(3;-1),Ligação,-0.4268631656,-0.425940906,0.3254722189,-0.5273318528
5,6,15.90937261967173,-5.07149032173356,13.03372940142805,3,-1,(3;-1),Ligação,-0.7349760955,-0.7175688304,0.3725419156,-1.08000301
6,7,14.26776747697309,-4.63197980690522,11.51117774933303,3,-1,(3;-1),Ligação,-0.4056666796,-0.3926039806,0.3205961715,-0.4776744887
7,8,9.46726511138131,-3.11684083661656,9.17119031884305,3,-1,(3;-1),Ligação,-0.0003552391292,-0.000125946849,0.002939200889,0.002458014911
8,9,9.63754469998658,-2.69916276658429,9.33110446405248,3,1,(3;+1),Anel,-0.0003491294632,0.0001618744065,0.002665569825,0.002478314768
9,10,13.89296554942774,6.12390365160576,9.71283459331299,3,1,(3;+1),Anel,-6.054175326e-08,4.146911934e-07,1.6268556e-06,1.98100504e-06
10,11,11.40719485508617,0.58918040934016,7.64098646274751,3,-1,(3;-1),Ligação,-0.001919192533,-0.001335105605,0.01199440745,0.008740109307
11,12,14.37152979161326,-3.68687050846412,2.79466335125962,3,-1,(3;-1),Ligação,-7.365644266e-05,-7.020394022e-05,0.0005629381984,0.0004190778156
12,13,9.64535385247185,-0.46029599783919,9.42735098308659,3,1,(3;+1),Anel,-0.0005327449118,0.0002438437534,0.003861664139,0.003572762981
13,14,12.76716545392863,-4.6011499285909,9.89248539281174,3,-1,(3;-1),Ligação,-0.7085934971,-0.7056316066,0.3669444722,-1.047280632
14,15,4.91820725241924,-1.61197639996756,7.17908686641667,3,-1,(3;-1),Ligação,-0.4324094951,-0.3647329097,0.3189647967,-0.4781776081
15,16,8.70722663523279,2.19587568146508,6.70665037407243,3,-1,(3;-1),Ligação,-0.7041976895,-0.7039296434,0.3490839175,-1.059043415
16,17,13.75698372620592,-0.74085929387104,8.06579987245657,3,-3,(3;-3),Nuclear,-4.362126025,-4.361005847,-3.782245464,-12.50537734
17,18,9.57162098535663,-0.69353152960501,9.6497730163233,3,-1,(3;-1),Ligação,-0.0005480230821,-0.0002019259159,0.004291342252,0.003541393254
18,19,16.79262507227473,2.60075398795426,13.86522176032992,3,-1,(3;-1),Ligação,-1.269449989e-05,-7.94415793e-06,0.000212778082,0.0001921394242
19,20,12.46558890885876,-8.05668931534529,12.86660065206596,3,-1,(3;-1),Ligação,-1.309857074,-1.23001275,0.9638971652,-1.575972659
20,21,15.18586176539394,-0.00863831045082,17.88491722842648,3,-1,(3;-1),Ligação,-0.0008718997626,-0.0008411043225,0.005829984665,0.00411698058
21,22,14.74194027312078,-8.84710011393505,13.59118653861399,3,-1,(3;-1),Ligação,-1.332813577,-1.251598579,0.9840781394,-1.600334017
22,23,11.32095608163166,8.78703462228153,8.20613982101266,3,-1,(3;-1),Ligação,-1.64883018e-06,-1.482585679e-06,3.0172825e-05,2.704140914e-05
23,24,12.11725205894034,-8.11795905508804,12.78859920326117,3,-3,(3;-3),Nuclear,-4.230961587,-4.196828594,-3.11364701,-11.54143719
24,25,12.80999476641904,-3.55022053991391,3.13760358545676,3,1,(3;+1),Anel,-4.473787436e-05,0.0001680096042,0.000265803827,0.0003890755569
25,26,7.49894138089269,0.14679438081948,4.35458370466579,3,-1,(3;-1),Ligação,-0.002176780212,-0.001862866108,0.02078438139,0.01674473507
26,27,6.863765802312,-5.12270163733446,5.16359867994572,3,-1,(3;-1),Ligação,-0.7287773176,-0.7235171897,0.3555017327,-1.096792775
27,28,16.86087071637033,-4.60694041501961,8.2349310799352,3,-1,(3;-1),Ligação,-0.6838709353,-0.6820783961,0.348935148,-1.017014183
28,29,14.96581423157247,-9.0992381532506,13.69255569183879,3,-3,(3;-3),Nuclear,-4.176548744,-4.14143302,-3.031937182,-11.34991895
29,30,14.62458925444034,-5.14195086468106,12.89171370445801,3,-3,(3;-3),Nuclear,-86118.36459,-86117.25482,-86116.81104,-258352.4305
30,31,13.91535183181399,-2.72942336295136,10.08100995772298,3,-1,(3;-1),Ligação,-0.4287544639,-0.428038916,0.3274112625,-0.5293821173
31,32,12.61352286520571,-3.50980978973763,15.06272614888023,3,-1,(3;-1),Ligação,-0.9789359397,-0.9497463453,2.102153765,0.1734714801
32,33,14.18548797542208,-2.8054356583176,15.73197953167426,3,-1,(3;-1),Ligação,-0.7057817017,-0.7029359452,0.3757246457,-1.032993001
33,34,12.85858374929533,-0.82768722974213,10.61032521020737,3,-1,(3;-1),Ligação,-0.6978107298,-0.6940888478,0.3514449878,-1.04045459
34,35,16.88451043512786,9.56920148155029,15.53952885602711,3,1,(3;+1),Anel,-0.0008662629154,0.002101497476,0.0126516013,0.01388683587
35,36,13.80142316505204,-0.93746044386971,8.74556113060497,3,-1,(3;-1),Ligação,-0.6872029523,-0.6844001142,0.3504787469,-1.02112432
36,37,16.01259996462587,-6.50457803743597,8.48391333931826,3,-1,(3;-1),Ligação,-0.7023697941,-0.7007852516,0.3484670924,-1.054687953
